id,area,descricao,evidencias,status,peso
1,1,"A entidade tem um organograma e ou define com clareza os cargos e responsáveis, bem como suas atribuições?",Descritivo de Cargos e Funções( diretoria e colaboradores) e organograma,true,1
2,1,Os processos de recrutamento e seleção estão alinhados com os perfis de competências profissionais necessários para exercer a função?,"Apresentação do processo de recrutamento e seleção utilizado pela ACE, observando se estão condizentes com os perfis e competências exigidos no Descritivo de Cargos.",true,1
14,1,"A entidade possui sistemas definidos e formais de remuneração relativos a incentivo, bonificação e premiação? (Remuneração Variável)",Comprovantes como Ata ou Portaria que indique e formalize a concessão de remuneração variável/Anexa no Holerite do colaborador,true,1
15,1,A entidade realiza o levantamento das necessidades de treinamentos tanto para os diretores e colaboradores?,Apresentar o levantamento realizado com as respectivas necessidade de capacitação,true,1
16,1,Existe um plano de capacitação alinhado às necessidades de treinamentos tanto para diretores e colaboradores? ,Plano de capacitação (treinamento) ,true,1
26,2,"O planejamento estratégico da ACE leva em conta o cenário de curto, médio e longo prazo?","Verificar o planejamento estratégico no, Sigeor ou outro sistema de monitoramento, desde que este apresente de forma clara as ações curto e médio e longo prazo e os objetivos relacionados. Curto: Até 12 meses, Medio: 12 meses a 24 meses Longo Prazo: Acima de 24 meses",true,1
27,2,A entidade tem definida sua propoosta de valor proposta e a  retrata no planejamento estratégico da entidade?,A Proposta de Valor é um conjunto de benefícios ou valores que se promete oferecer aos associados e comunidade para satisfazer suas necessidades. Avaliar se existe e se está inserida no PE,true,1
28,2,"O planej. estrat. aborda elementos como registro de ganhos financeiros pelos associados, geração de oportunidades de negócios e valorização do relacionamento entre associados?",Validar no planejamento estratégico  (Ações do planejamento),true,1
29,2,"O Planejamento Estratégico abrange fatores relacionados às necessidades dos clientes, parceiros, comunidade e colaboradores?",Validar no planejamento estratégico - Insumo: Pesquisa de Necessidades dos Clientes/Pesquisa de Clima Organizacional,true,1
30,2,"Há o desdobramento das estratégias em planos de ação para cada uma das  7  áreas organizacionais da entidade, priorizado sua proposta de valor?",Validar nos planos de ações (Sigeor ou outro  sistema de monitoramento com plano de ação para as 7 áreas estratégicas da organização),true,1
49,2,As práticas utilizadas para o gerenciamento dos processos internos são avaliadas criticamente quanto a sua eficácia?,"Relatório de avaliação realizada, citando as ações corretivas implementadas. ",true,1
70,3,A entidade tem com clareza quem são seus potenciais clientes? ,Apresentar relação dos potenciais clientes da ACE - SPC Recomenda,true,1
71,3,Os ganhos financeiros para os associados são claramente percebidos com fator de destaque e diferenciação da atuação da ACE?,Apresentar tabulação de pesquisa com resultado 50% a 74% Parcial => 75% Sim,true,1
72,3,A geração de oportunidades de negócio e o relacionamento entre associados são claramente percebidos com fator de destaque e diferenciação da atuação da ACE?,Apresentar tabulação de pesquisa com resultado 50% a 74% Parcial => 75% Sim,true,1
73,3,Os associados e clientes percebem na ACE uma provedora de soluções que contribuem ativamente para o aumento de sua competitividade?,Apresentar tabulação de pesquisa com resultado 50% a 74% Parcial => 75% Sim,true,1
74,3,Pode-se afirmar que as empresas associadas à ACE são mais competitivas que as empresas não associadas em seu território de atuação?,Apresentar tabulação de pesquisa com resultado 50% a 74% Parcial => 75% Sim,true,1
75,3,As práticas utilizadas para o gerenciamento dos clientes são avaliadas criticamente quanto a sua eficácia?,"Relatório de avaliação realizada, citando as ações corretivas implementadas",true,1
76,4,A entidade pode ser considerada um negócio viável sob o ponto de vista financeiro?,Apresentar análise de viabilidade financeira da ACE (DRE anual),true,1
77,4,A entidade possui controles financeiros que demonstrem o valor do superávit ou prejuízo obtido no mês e anualmente?,"Apresentar os controles financeiros utilizados, e o resultados do ultimo no e de seus respectivos meses (DRE Mensal)",true,1
78,4,"Os impostos devidos por lei são pagos regularmente, bem como os encargos sociais relativos aos colaboradores?",Apresentar todas as Certidões Negativas de Débito,true,1
79,4,A entidade possui fluxo de caixa para controle de sua gestão financeira?,Apresentar fluxo de caixa.,true,1
89,5,A entidade possui metas para implantação/desenvolvimento de novos benefícios?,Quadro de metas,true,1
90,5,A cesta de benefícios da entidade representa importante fator de atratividade para captação e fidelização de associados?,Apresentar pesquisa necessidades de associados e comparar tabulada => 75% ( sim) => 50 ( parcial),true,1
91,5,A cesta de benefícios da ACE reflete a proposta de valor da entidade?,Análise  do portfólio  e comparação com a proposta de valor,true,1
92,5,Existe uma avaliação de resultado financeiro para cada benefícios da entidade?,"Apresentar avaliação realizada, para cada benefício ofertado pela ACE, planilha evidenciando a Custo X receita X lucratividade.",true,1
93,5,A cesta de benefícios da ACE tem grau de avaliação positivo superior a 75% por parte de seus associados?,Apresentar pesquisa tabulada => 75% ( sim) => 50 ( parcial),true,1
94,5,Os benefícios geram superávit financeiro para a entidade?,Apresentar o superávit financeiro gerado apenas pelos benefícios da entidade.,true,1
95,5,A entidade possui um método para a formação do preço de venda para seus benefícios?,Apresentar planilhas para formação do preço de venda ou documentos similares,true,1
108,6,teste,teste texto evidencia,true,1
109,6,teste 2,teste texto evidencia 2,true,1
110,7,quesito para 7,teste,true,1
111,7,quesito para 7 2,teste,true,1
112,8,Quesito para area teste,teste,true,1
